lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,23,54768,0.9939990763011107,6.585676925368663,weibull,0.0,0.9060023682541214,0.1233063823892735,9734.462917510595
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,24,54768,0.9957948676837189,6.590828825946517,geometric,0.5727280867286026,0.0,0.8434708084678277,9492.494898815523
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,25,54768,1.0040773900658388,6.6143701680061495,geometric,0.6777525462093763,0.0,1.0123901916085742,9744.637289255683
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,26,54768,1.0009141438050024,6.6053640487918575,geometric,1.9328982636216097,0.0,1.8720155119663104,9385.639457867946
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,27,54768,0.998415130324946,6.598339075794829,geometric,1.7989531483617611,0.0,1.631620301050134,9813.050113456964
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,28,54768,1.0034227815185326,6.612524574726095,geometric,1.0652105571352877,0.0,1.009823226777371,9708.934198792384
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,29,54768,1.0007787285509089,6.6049333392301,geometric,1.9516647462151013,0.0,1.9998684487654828,9854.507305689796
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,30,54768,1.000542256695201,6.604142156234671,geometric,1.9763714172877371,0.0,1.8889880266506225,9411.836288181832
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,31,54768,0.9971463394815506,6.594345820888956,geometric,1.347401263192296,0.0,1.0014903487754054,9779.288082574843
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,32,54768,1.0033157376911293,6.6122548324144095,geometric,1.123368187341839,0.0,1.1497332806466147,9764.13411163236
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,33,54768,1.0008398366365876,6.6050774446754295,geometric,1.943462049763184,0.0,1.889235278009437,9595.07834220992
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,34,54768,1.0016576942586364,6.607309546389423,geometric,1.7812123812036589,0.0,1.9580510320374742,9850.372638665373
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,35,54768,1.001320894322702,6.606615483296845,geometric,1.8609012262895703,0.0,1.9212963206227869,9987.07719782344
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,36,54768,0.999238628861759,6.600660111054344,geometric,1.9533082526759245,0.0,1.9971677751746029,9361.802521687292
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,37,54768,1.0038478512747782,6.613222899349057,geometric,0.8200056733330712,0.0,0.8606061700847931,9715.369683763478
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,38,54768,1.000812061423456,6.605009738437627,geometric,1.9474336177809164,0.0,1.9984363219700754,9899.991159510973
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,39,54768,1.0008777580873431,6.6052940503335,geometric,1.9382526815170422,0.0,1.893645866541192,9618.744688772014
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,40,54768,0.9990537074121633,6.5997771231274065,geometric,1.9284018534235656,0.0,1.8764829382998869,9964.353721947118
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,41,54768,1.000340492167965,6.6038037225812705,geometric,1.9907089285552502,0.0,1.983518700581044,9617.632269643946
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,42,54768,1.0066976112688542,6.621745150320541,nbinom,0.32381472777342424,1.8913821151363663,0.0,9718.477576911158
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,43,54768,0.9996426002726158,6.601742309654262,geometric,1.989734337781556,0.0,1.9960470500518568,9509.217588004016
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,44,54768,1.000788206095821,6.605054918632627,geometric,1.9503381125396118,0.0,1.9594246303313412,9790.328424875217
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,45,54768,1.007486492737975,6.623394069139726,nbinom,0.5409832508303225,2.994485283619724,0.0,9756.77368988865
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,46,54768,0.9989468836488138,6.599776043170811,geometric,1.9109128920244984,0.0,1.9511952070170082,9612.437083420053
